scrape_datetime,base_url,category,product_url,product_name,catalog_code,stock_code,availability,buying_option,price
2025-02-27 14:04:53,https://www.cityelectricsupply.com/urd,URD,https://www.cityelectricsupply.com/urd-stephens-2awg-2awg-4awg-stranded-direct-burial-cable-aluminum-black-3-conductor-w-4awg-neutral-cut-length,"URD-STEPHENS, 2AWG-2AWG-4AWG, Stranded, Direct Burial Cable, Aluminum, Black, 3 Conductor w/4AWG Neutral, Cut Length",URD-STEPHENS,0005-7565,Available: (9275 Feet),,$1.59 per 1
2025-02-27 14:04:53,https://www.cityelectricsupply.com/urd,URD,https://www.cityelectricsupply.com/urdwakeforest-4-0-4-0-4-0-2-0-stranded-direct-burial-cable-aluminum-black-4-conductor-w-2-0-neutral-cut-length,"URDWAKEFOREST, 4/0-4/0-4/0-2/0, Stranded, Direct Burial Cable, Aluminum, Black, 4 Conductor w/2/0 Neutral, Cut Length",URDWAKEFOREST,0008-1586,Available: (5468 Feet),,$4.53 per 1
2025-02-27 14:04:53,https://www.cityelectricsupply.com/urd,URD,https://www.cityelectricsupply.com/urd-converse-2-0-2-0-1awg-stranded-direct-burial-cable-aluminum-black-3-conductor-w-1awg-neutral-cut-length,"URD-CONVERSE, 2/0-2/0-1AWG, Stranded, Direct Burial Cable, Aluminum, Black, 3 Conductor w/1AWG Neutral, Cut Length",URD-CONVERSE,0258-1674,Available: (4897 Feet),,$2.29 per 1
2025-02-27 14:04:53,https://www.cityelectricsupply.com/urd,URD,https://www.cityelectricsupply.com/1329-urd-dyke-urd-dyke-2-2-2-4-1000ft,1329 URD-DYKE URD DYKE 2-2-2-4-1000FT,URD-DYKE,0599-0349,Available: (0 Feet),,"$2,173.40 per 1000"
2025-02-27 14:04:53,https://www.cityelectricsupply.com/urd,URD,https://www.cityelectricsupply.com/urd-notredame-1-0-1-0-1-0-2awg-stranded-direct-burial-cable-aluminum-black-4-conductor-w-2awg-neutral-cut-length,"URD-NOTREDAME, 1/0-1/0-1/0-2AWG, Stranded, Direct Burial Cable, Aluminum, Black, 4 Conductor w/2AWG Neutral, Cut Length",URD-NOTREDAME,0008-1580,Available: (4150 Feet),,$2.73 per 1
2025-02-27 14:04:53,https://www.cityelectricsupply.com/urd,URD,https://www.cityelectricsupply.com/urdtriplexpratt250-2-250mcm-250mcm-3-0-stranded-direct-burial-cable-aluminum-black-3-conductor-w-3-0-neutral-cut-length,"URDTRIPLEXPRATT250-2, 250MCM-250MCM-3/0, Stranded, Direct Burial Cable, Aluminum, Black, 3 Conductor w/3/0 Neutral, Cut Length",URDTRIPLEXPRATT250-2,0008-1592,Available: (5946 Feet),,$3.96 per 1
2025-02-27 14:04:53,https://www.cityelectricsupply.com/urd,URD,https://www.cityelectricsupply.com/1329-urd-stephens-urd-stephens-2-2-4-1000ft,1329 URD-STEPHENS URD STEPHENS 2-2-4-1000FT,URD-STEPHENS,0599-0343,Available: (0 Feet),,"$1,761.54 per 1000"
2025-02-27 14:04:53,https://www.cityelectricsupply.com/urd,URD,https://www.cityelectricsupply.com/urd-350-350-4-0-wesleyan-350mcm-350mcm-4-0-stranded-direct-burial-cable-aluminum-black-3-conductor-w-4-0-neutral-cut-length,"URD-350-350-4/0-WESLEYAN, 350MCM-350MCM-4/0, Stranded, Direct Burial Cable, Aluminum, Black, 3 Conductor w/4/0 Neutral, Cut Length",URD-350-350-4/0-WESLEYAN,0013-2538,Available: (10247 Feet),,$5.23 per 1
2025-02-27 14:04:53,https://www.cityelectricsupply.com/urd,URD,https://www.cityelectricsupply.com/urd-ramapo-2awg-stranded-direct-burial-cable-aluminum-black-3-conductor-w-neutral-cut-length,"URD-RAMAPO, 2AWG, Stranded, Direct Burial Cable, Aluminum, Black, 3 Conductor w/Neutral, Cut Length",URD-RAMAPO,0258-1677,Available: (4978 Feet),,$1.35 per 1
2025-02-27 14:04:53,https://www.cityelectricsupply.com/urd,URD,https://www.cityelectricsupply.com/1329-urd-wakeforest-urd-wake-forest-4-0-4-0-4-0-2-0-1000ft,1329 URD-WAKEFOREST URD WAKE FOREST 4/0-4/0-4/0-2/0-1000FT,URD-WAKEFOREST,0599-0355,Available: (0 Feet),,"$5,118.36 per 1000"
